Usage,LaggingCurrentReactivePower,LeadingCurrentReactivePower,CO2,LaggingCurrentPowerFactor,LeadingCurrentPowerFactor,NSM,WeekStatus,Year,Month,Day,Hours,Minutes,IsHoliday,Season,TempMax,TempMin,Temp,FeelsLikeMax,FeelsLikeMin,FeelsLike,Dew,Humidity,Precip,PrecipProb,PrecipCover,PrecipType,SnowDepth,WindGust,WindSpeed,WindDir,SeaLevelPressure,CloudCover,Visibility,SolarRadiation,SolarEnergy,UvIndex,Conditions,SunriseHour,LoadType,SunsetHour
3.53,3.78,0.0,0.0,68.25,100.0,22500,Weekday,2018,1,2,6,15,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
6.3,4.57,0.0,0.0,80.95,100.0,27000,Weekday,2018,1,2,7,30,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
52.06,35.32,0.0,0.0,82.75,100.0,31500,Weekday,2018,1,2,8,45,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
52.81,7.06,0.54,0.0,99.12,99.99,36000,Weekday,2018,1,2,10,0,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Medium_Load,17
128.52,70.85,0.0,0.0,87.57,100.0,40500,Weekday,2018,1,2,11,15,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Maximum_Load,17
8.46,0.0,25.92,0.0,100.0,31.03,45000,Weekday,2018,1,2,12,30,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Medium_Load,17
124.45,49.79,0.0,0.0,92.85,100.0,49500,Weekday,2018,1,2,13,45,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Medium_Load,17
143.89,60.91,0.0,0.0,92.09,100.0,54000,Weekday,2018,1,2,15,0,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Medium_Load,17
136.44,56.77,0.0,0.0,92.33,100.0,58500,Weekday,2018,1,2,16,15,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Medium_Load,17
115.78,50.04,0.0,0.0,91.79,100.0,63000,Weekday,2018,1,2,17,30,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Maximum_Load,17
40.25,8.82,0.5,0.0,97.68,99.99,67500,Weekday,2018,1,2,18,45,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Maximum_Load,17
38.16,4.68,0.5,0.0,99.26,99.99,72000,Weekday,2018,1,2,20,0,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Maximum_Load,17
6.98,0.0,25.16,0.0,100.0,26.73,76500,Weekday,2018,1,2,21,15,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Medium_Load,17
4.64,5.22,0.0,0.0,66.44,100.0,81000,Weekday,2018,1,2,22,30,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Maximum_Load,17
4.54,4.25,0.0,0.0,73.0,100.0,85500,Weekday,2018,1,2,23,45,0,Winter,46.7,22.8,38.6,41.1,22.8,33.8,28.3,67.0,0.0,0,0.0,noprecip,0,0,14.8,329.9,1028.4,9.6,4.8,125.2,10.8,5,Clear,7,Light_Load,17
4.57,4.61,0.0,0.0,70.4,100.0,3600,Weekday,2018,1,3,1,0,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
4.61,4.39,0.0,0.0,72.42,100.0,8100,Weekday,2018,1,3,2,15,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
4.64,4.72,0.0,0.0,70.1,100.0,12600,Weekday,2018,1,3,3,30,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
4.57,4.32,0.0,0.0,72.67,100.0,17100,Weekday,2018,1,3,4,45,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
4.57,4.5,0.0,0.0,71.25,100.0,21600,Weekday,2018,1,3,6,0,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
4.46,4.18,0.0,0.0,72.96,100.0,26100,Weekday,2018,1,3,7,15,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
74.59,35.86,0.0,0.03,90.13,100.0,30600,Weekday,2018,1,3,8,30,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
74.2,21.96,0.0,0.03,95.89,100.0,35100,Weekday,2018,1,3,9,45,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Medium_Load,17
74.59,31.64,0.04,0.03,92.06,100.0,39600,Weekday,2018,1,3,11,0,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Maximum_Load,17
11.27,0.5,20.45,0.01,99.9,48.27,44100,Weekday,2018,1,3,12,15,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Medium_Load,17
52.7,13.64,0.0,0.02,96.81,100.0,48600,Weekday,2018,1,3,13,30,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Medium_Load,17
66.74,26.42,0.0,0.03,92.98,100.0,53100,Weekday,2018,1,3,14,45,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Medium_Load,17
68.98,25.81,0.0,0.03,93.66,100.0,57600,Weekday,2018,1,3,16,0,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Medium_Load,17
140.51,52.96,0.0,0.06,93.57,100.0,62100,Weekday,2018,1,3,17,15,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Maximum_Load,17
39.82,18.43,0.0,0.02,90.75,100.0,66600,Weekday,2018,1,3,18,30,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Maximum_Load,17
43.2,5.69,0.18,0.02,99.14,100.0,71100,Weekday,2018,1,3,19,45,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Maximum_Load,17
9.83,0.0,23.83,0.0,100.0,38.13,75600,Weekday,2018,1,3,21,0,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Medium_Load,17
4.97,1.91,15.16,0.0,93.34,31.15,80100,Weekday,2018,1,3,22,15,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Maximum_Load,17
4.61,4.25,0.0,0.0,73.52,100.0,84600,Weekday,2018,1,3,23,30,0,Winter,41.8,28.4,35.3,33.6,20.0,26.5,22.7,61.3,0.0,0,0.0,noprecip,0,0,18.3,335.9,1028.9,25.8,9.6,142.9,12.4,6,Partially cloudy,7,Light_Load,17
4.64,4.68,0.0,0.0,70.41,100.0,2700,Weekday,2018,1,4,0,45,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
4.64,4.79,0.0,0.0,69.58,100.0,7200,Weekday,2018,1,4,2,0,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
4.68,5.0,0.0,0.0,68.34,100.0,11700,Weekday,2018,1,4,3,15,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
4.64,4.72,0.0,0.0,70.1,100.0,16200,Weekday,2018,1,4,4,30,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
4.61,4.39,0.0,0.0,72.42,100.0,20700,Weekday,2018,1,4,5,45,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
4.64,4.57,0.0,0.0,71.25,100.0,25200,Weekday,2018,1,4,7,0,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
83.23,51.73,0.0,0.04,84.93,100.0,29700,Weekday,2018,1,4,8,15,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
128.02,46.22,0.0,0.06,94.06,100.0,34200,Weekday,2018,1,4,9,30,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
128.81,41.04,0.0,0.06,95.28,100.0,38700,Weekday,2018,1,4,10,45,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Maximum_Load,17
128.05,60.55,0.0,0.06,90.4,100.0,43200,Weekday,2018,1,4,12,0,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Maximum_Load,17
78.37,21.24,1.19,0.04,96.52,99.99,47700,Weekday,2018,1,4,13,15,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
121.93,43.56,0.0,0.06,94.17,100.0,52200,Weekday,2018,1,4,14,30,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
138.06,51.8,0.0,0.06,93.63,100.0,56700,Weekday,2018,1,4,15,45,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
97.63,37.26,0.0,0.04,93.43,100.0,61200,Weekday,2018,1,4,17,0,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
39.71,16.24,0.54,0.02,92.56,99.99,65700,Weekday,2018,1,4,18,15,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Maximum_Load,17
52.74,16.31,0.0,0.02,95.54,100.0,70200,Weekday,2018,1,4,19,30,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Maximum_Load,17
46.62,11.99,0.04,0.02,96.85,100.0,74700,Weekday,2018,1,4,20,45,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
5.15,0.0,25.85,0.0,100.0,19.54,79200,Weekday,2018,1,4,22,0,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Medium_Load,17
4.64,5.18,0.0,0.0,66.72,100.0,83700,Weekday,2018,1,4,23,15,0,Winter,39.5,26.6,34.4,39.5,18.8,28.6,21.0,58.6,0.0,0,0.0,noprecip,0,0,15.9,345.4,1026.4,92.0,9.9,71.3,6.1,3,Overcast,7,Light_Load,17
4.68,5.22,0.0,0.0,66.75,100.0,1800,Weekday,2018,1,5,0,30,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
4.61,4.86,0.0,0.0,68.82,100.0,6300,Weekday,2018,1,5,1,45,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
4.64,5.04,0.0,0.0,67.73,100.0,10800,Weekday,2018,1,5,3,0,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
4.61,4.68,0.0,0.0,70.18,100.0,15300,Weekday,2018,1,5,4,15,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
4.64,4.93,0.0,0.0,68.54,100.0,19800,Weekday,2018,1,5,5,30,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
4.61,4.72,0.0,0.0,69.87,100.0,24300,Weekday,2018,1,5,6,45,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
7.02,4.97,0.0,0.0,81.62,100.0,28800,Weekday,2018,1,5,8,0,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Light_Load,17
120.71,36.47,0.0,0.06,95.73,100.0,33300,Weekday,2018,1,5,9,15,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Medium_Load,17
128.56,45.4,0.0,0.06,94.29,100.0,37800,Weekday,2018,1,5,10,30,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Maximum_Load,17
130.03,63.79,0.0,0.06,89.78,100.0,42300,Weekday,2018,1,5,11,45,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Maximum_Load,17
8.21,0.0,25.81,0.0,100.0,30.31,46800,Weekday,2018,1,5,13,0,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Medium_Load,17
72.58,29.77,0.0,0.03,92.52,100.0,51300,Weekday,2018,1,5,14,15,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Medium_Load,17
129.85,56.52,0.0,0.06,91.69,100.0,55800,Weekday,2018,1,5,15,30,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Medium_Load,17
121.07,44.93,0.0,0.06,93.75,100.0,60300,Weekday,2018,1,5,16,45,0,Winter,42.9,30.4,37.0,39.5,23.3,30.3,25.4,63.4,0.012,100,12.5,rain,0,0,20.1,319.5,1020.3,37.0,9.1,135.4,11.8,6,"Rain, Partially cloudy",7,Medium_Load,17
